Value,CumulativeFrequency,Cummulative_frequency,simulation_number,parameter_name
0,12129,0.987301587301587,BASE_SIMULATION_8,SNOW_ALB_THAW_B
0.001,12261,0.998046398046398,BASE_SIMULATION_8,SNOW_ALB_THAW_B
0.002,12278,0.999430199430199,BASE_SIMULATION_8,SNOW_ALB_THAW_B
0.003,12281,0.9996743996744,BASE_SIMULATION_8,SNOW_ALB_THAW_B
0.004,12283,0.9998371998372,BASE_SIMULATION_8,SNOW_ALB_THAW_B
0.005,12284,0.9999185999186,BASE_SIMULATION_8,SNOW_ALB_THAW_B
0.008,12285,1,BASE_SIMULATION_8,SNOW_ALB_THAW_B
0,12129,0.987301587301587,BASE_SIMULATION_9,SNOW_ALB_THAW_B
0.001,12271,0.998860398860399,BASE_SIMULATION_9,SNOW_ALB_THAW_B
0.002,12280,0.999592999593,BASE_SIMULATION_9,SNOW_ALB_THAW_B
0.003,12282,0.9997557997558,BASE_SIMULATION_9,SNOW_ALB_THAW_B
0.004,12283,0.9998371998372,BASE_SIMULATION_9,SNOW_ALB_THAW_B
0.01,12284,0.9999185999186,BASE_SIMULATION_9,SNOW_ALB_THAW_B
0.019,12285,1,BASE_SIMULATION_9,SNOW_ALB_THAW_B
0,12238,0.996174196174196,BASE_SIMULATION_10,SNOW_ALB_THAW_B
0.001,12275,0.999185999185999,BASE_SIMULATION_10,SNOW_ALB_THAW_B
0.002,12280,0.999592999593,BASE_SIMULATION_10,SNOW_ALB_THAW_B
0.003,12281,0.9996743996744,BASE_SIMULATION_10,SNOW_ALB_THAW_B
0.006,12283,0.9998371998372,BASE_SIMULATION_10,SNOW_ALB_THAW_B
0.007,12285,1,BASE_SIMULATION_10,SNOW_ALB_THAW_B
0,11881,0.967114367114367,BASE_SIMULATION_11,SNOW_ALB_THAW_B
0.001,12233,0.995767195767196,BASE_SIMULATION_11,SNOW_ALB_THAW_B
0.002,12267,0.998534798534799,BASE_SIMULATION_11,SNOW_ALB_THAW_B
0.003,12274,0.999104599104599,BASE_SIMULATION_11,SNOW_ALB_THAW_B
0.004,12276,0.999267399267399,BASE_SIMULATION_11,SNOW_ALB_THAW_B
0.005,12279,0.9995115995116,BASE_SIMULATION_11,SNOW_ALB_THAW_B
0.006,12281,0.9996743996744,BASE_SIMULATION_11,SNOW_ALB_THAW_B
0.009,12282,0.9997557997558,BASE_SIMULATION_11,SNOW_ALB_THAW_B
0.051,12283,0.9998371998372,BASE_SIMULATION_11,SNOW_ALB_THAW_B
0.069,12284,0.9999185999186,BASE_SIMULATION_11,SNOW_ALB_THAW_B
0.436,12285,1,BASE_SIMULATION_11,SNOW_ALB_THAW_B
0,11870,0.966218966218966,BASE_SIMULATION_12,SNOW_ALB_THAW_B
0.001,12149,0.988929588929589,BASE_SIMULATION_12,SNOW_ALB_THAW_B
