Value,CumulativeFrequency,Cummulative_frequency,simulation_number,parameter_name
0.968,10733,0.999906838084591,BASE_SIMULATION_21,NEW_SNOW_DENSITY
1,10734,1,BASE_SIMULATION_21,NEW_SNOW_DENSITY
0,10643,0.999718204020289,BASE_SIMULATION_22,NEW_SNOW_DENSITY
0.934,10645,0.999906068006763,BASE_SIMULATION_22,NEW_SNOW_DENSITY
1,10646,1,BASE_SIMULATION_22,NEW_SNOW_DENSITY
0,11018,0.999818511796733,BASE_SIMULATION_23,NEW_SNOW_DENSITY
0.89,11019,0.999909255898367,BASE_SIMULATION_23,NEW_SNOW_DENSITY
1,11020,1,BASE_SIMULATION_23,NEW_SNOW_DENSITY
0,11018,0.999637089457449,BASE_SIMULATION_24,NEW_SNOW_DENSITY
0.989,11019,0.999727817093087,BASE_SIMULATION_24,NEW_SNOW_DENSITY
0.997,11020,0.999818544728724,BASE_SIMULATION_24,NEW_SNOW_DENSITY
0.998,11021,0.999909272364362,BASE_SIMULATION_24,NEW_SNOW_DENSITY
1,11022,1,BASE_SIMULATION_24,NEW_SNOW_DENSITY
0,11379,0.999385209906903,BASE_SIMULATION_25,NEW_SNOW_DENSITY
0.995,11382,0.999648691375373,BASE_SIMULATION_25,NEW_SNOW_DENSITY
0.997,11383,0.99973651853153,BASE_SIMULATION_25,NEW_SNOW_DENSITY
0.999,11385,0.999912172843843,BASE_SIMULATION_25,NEW_SNOW_DENSITY
1,11386,1,BASE_SIMULATION_25,NEW_SNOW_DENSITY
0,11613,0.999053682037164,BASE_SIMULATION_26,NEW_SNOW_DENSITY
0.979,11614,0.999139710942877,BASE_SIMULATION_26,NEW_SNOW_DENSITY
0.987,11615,0.999225739848589,BASE_SIMULATION_26,NEW_SNOW_DENSITY
0.993,11616,0.999311768754301,BASE_SIMULATION_26,NEW_SNOW_DENSITY
0.994,11617,0.999397797660014,BASE_SIMULATION_26,NEW_SNOW_DENSITY
0.996,11620,0.999655884377151,BASE_SIMULATION_26,NEW_SNOW_DENSITY
0.998,11622,0.999827942188575,BASE_SIMULATION_26,NEW_SNOW_DENSITY
1,11624,1,BASE_SIMULATION_26,NEW_SNOW_DENSITY
0,10890,0.998990918264379,BASE_SIMULATION_27,NEW_SNOW_DENSITY
0.993,10891,0.999082652967618,BASE_SIMULATION_27,NEW_SNOW_DENSITY
0.995,10895,0.999449591780571,BASE_SIMULATION_27,NEW_SNOW_DENSITY
0.996,10896,0.999541326483809,BASE_SIMULATION_27,NEW_SNOW_DENSITY
0.998,10901,1,BASE_SIMULATION_27,NEW_SNOW_DENSITY
0,11238,1,BASE_SIMULATION_28,NEW_SNOW_DENSITY
0,11313,0.999646549438897,BASE_SIMULATION_29,NEW_SNOW_DENSITY
0.998,11316,0.999911637359724,BASE_SIMULATION_29,NEW_SNOW_DENSITY
1,11317,1,BASE_SIMULATION_29,NEW_SNOW_DENSITY
0,10419,0.999424460431655,BASE_SIMULATION_30,NEW_SNOW_DENSITY
0.994,10420,0.999520383693046,BASE_SIMULATION_30,NEW_SNOW_DENSITY
0.997,10424,0.999904076738609,BASE_SIMULATION_30,NEW_SNOW_DENSITY
1,10425,1,BASE_SIMULATION_30,NEW_SNOW_DENSITY
0,10821,0.998247232472325,BASE_SIMULATION_31,NEW_SNOW_DENSITY
0.987,10822,0.998339483394834,BASE_SIMULATION_31,NEW_SNOW_DENSITY
0.988,10823,0.998431734317343,BASE_SIMULATION_31,NEW_SNOW_DENSITY
0.989,10824,0.998523985239853,BASE_SIMULATION_31,NEW_SNOW_DENSITY
0.992,10826,0.998708487084871,BASE_SIMULATION_31,NEW_SNOW_DENSITY
0.994,10837,0.999723247232472,BASE_SIMULATION_31,NEW_SNOW_DENSITY
0.997,10838,0.999815498154982,BASE_SIMULATION_31,NEW_SNOW_DENSITY
0.998,10840,1,BASE_SIMULATION_31,NEW_SNOW_DENSITY
0,10958,0.999817518248175,BASE_SIMULATION_32,NEW_SNOW_DENSITY
0.982,10959,0.999908759124088,BASE_SIMULATION_32,NEW_SNOW_DENSITY
1,10960,1,BASE_SIMULATION_32,NEW_SNOW_DENSITY
0,11229,0.999288066209843,BASE_SIMULATION_33,NEW_SNOW_DENSITY
0.957,11231,0.999466049657382,BASE_SIMULATION_33,NEW_SNOW_DENSITY
0.998,11232,0.999555041381152,BASE_SIMULATION_33,NEW_SNOW_DENSITY
0.999,11236,0.99991100827623,BASE_SIMULATION_33,NEW_SNOW_DENSITY
1,11237,1,BASE_SIMULATION_33,NEW_SNOW_DENSITY
0,11005,0.999364329822012,BASE_SIMULATION_34,NEW_SNOW_DENSITY
0.978,11006,0.999455139847439,BASE_SIMULATION_34,NEW_SNOW_DENSITY
0.979,11009,0.99972756992372,BASE_SIMULATION_34,NEW_SNOW_DENSITY
0.998,11010,0.999818379949146,BASE_SIMULATION_34,NEW_SNOW_DENSITY
1,11012,1,BASE_SIMULATION_34,NEW_SNOW_DENSITY
0,11192,0.999821332856888,BASE_SIMULATION_35,NEW_SNOW_DENSITY
0.997,11193,0.999910666428444,BASE_SIMULATION_35,NEW_SNOW_DENSITY
0.999,11194,1,BASE_SIMULATION_35,NEW_SNOW_DENSITY
0,11347,0.998855633802817,BASE_SIMULATION_36,NEW_SNOW_DENSITY
0.988,11355,0.99955985915493,BASE_SIMULATION_36,NEW_SNOW_DENSITY
0.999,11359,0.999911971830986,BASE_SIMULATION_36,NEW_SNOW_DENSITY
1,11360,1,BASE_SIMULATION_36,NEW_SNOW_DENSITY
0,11746,0.999659574468085,BASE_SIMULATION_37,NEW_SNOW_DENSITY
0.923,11747,0.999744680851064,BASE_SIMULATION_37,NEW_SNOW_DENSITY
0.926,11748,0.999829787234043,BASE_SIMULATION_37,NEW_SNOW_DENSITY
0.927,11749,0.999914893617021,BASE_SIMULATION_37,NEW_SNOW_DENSITY
1,11750,1,BASE_SIMULATION_37,NEW_SNOW_DENSITY
0,10849,0.999263148199318,BASE_SIMULATION_38,NEW_SNOW_DENSITY
0.997,10851,0.999447361149489,BASE_SIMULATION_38,NEW_SNOW_DENSITY
