"lat","lng","elevation","b_infilt","Ds","organic0","Ws","Wpwp_FRACT0","Dsmax","annual_prec","BSk","Cfb","Csb","Dfb","Dfc","Dsa","Dsb","Dsc","ET","sum_winter_Precipitation","Clay0","init_moist0"
41.65625,-114.96875,2041.25,0.114487,0.438536,0.029754,0.792757,0.2786,2.57569,354.794,1,0,0,0,0,0,0,0,0,0.286203859749459,0.215,2.05932352941176
41.65625,-114.65625,2066.07007,0.114487,0.438536,0.00660307352,0.792757,0.298029411764706,2.57569,468.734,1,0,0,0,0,0,0,0,0,0.247843363618641,0.257647058823529,3.84708235294118
41.71875,-116.15625,2011.93994,0.235058,0.052484,0.0147804474794118,0.673148,0.327811764705882,21.9579,569.954,1,0,0,0,0,0,0,0,0,0.325813014914721,0.282352941176471,6.04112352941176
41.71875,-116.09375,2305.81006,0.235058,0.052484,0.0164177809394118,0.673148,0.2697,21.9579,639.255,1,0,0,0,0,0,0,0,0,0.328692156620572,0.225,4.12057647058824
41.71875,-116.03125,2046.62,0.235058,0.052484,0.0147804474794118,0.673148,0.327811764705882,21.9579,639.255,0,0,0,0,0,0,1,0,0,0.332075806630031,0.282352941176471,6.04112352941176
41.71875,-115.96875,1841.68994,0.235058,0.052484,0.0239202005558824,0.673148,0.2697,21.9579,605.395,1,0,0,0,0,0,0,0,0,0.312775986548609,0.225,4.12057647058824
41.71875,-115.53125,1949.93994,0.201262,0.138289,0.0123531345770588,0.362349,0.521229411764706,10.087,345.703,1,0,0,0,0,0,0,0,0,0.314642516774589,0.484411764705882,5.84362352941176
41.71875,-115.46875,2126.5,0.201262,0.138289,0.0147804474794118,0.362349,0.327811764705882,10.087,521.97,0,0,0,0,0,0,1,0,0,0.349964680706902,0.282352941176471,6.04112352941176
41.71875,-115.28125,2519.37988,0.114487,0.438536,0.0200416247823529,0.792757,0.325882352941176,2.57569,502.29,1,0,0,0,0,0,0,0,0,0.388606740969983,0.278529411764706,2.27175294117647
41.71875,-115.21875,1995.43994,0.114487,0.438536,0.0284275333123529,0.792757,0.429729411764706,2.57569,319.003,1,0,0,0,0,0,0,0,0,0.332282943576585,0.386764705882353,7.55931764705882
41.78125,-116.15625,1984.18994,0.235058,0.052484,0.0236896110935294,0.673148,0.327811764705882,21.9579,453.5,1,0,0,0,0,0,0,0,0,0.320031846428602,0.282352941176471,6.04112352941176
41.78125,-116.09375,2375.18994,0.235058,0.052484,0.0236896110935294,0.673148,0.327811764705882,21.9579,642.021,1,0,0,0,0,0,0,0,0,0.330596806368697,0.282352941176471,6.04112352941176
41.78125,-116.03125,2095.56006,0.235058,0.052484,0.0236896110935294,0.673148,0.327811764705882,21.9579,642.021,0,0,0,0,0,0,1,0,0,0.324913941846186,0.282352941176471,6.04112352941176
41.78125,-115.71875,2062.5,0.201262,0.138289,0.0155442185882353,0.362349,0.325882352941176,10.087,520.996,1,0,0,0,0,0,0,0,0,0.298324536582192,0.278529411764706,2.27175294117647
41.78125,-115.59375,2202.98999,0.201262,0.138289,0.00878135294117647,0.362349,0.236382352941176,10.087,572.059,1,0,0,0,0,0,0,0,0,0.300171434277688,0.13,6.7179
41.78125,-115.53125,2665.07007,0.201262,0.138289,0.0155442185882353,0.362349,0.325882352941176,10.087,572.059,1,0,0,0,0,0,0,0,0,0.315782712952565,0.278529411764706,2.27175294117647
41.78125,-115.46875,2546.25,0.201262,0.138289,0.0200416247823529,0.362349,0.325882352941176,10.087,854.261,0,0,0,0,0,0,0,1,0,0.319301967690545,0.278529411764706,2.27175294117647
41.78125,-115.40625,2701.42993,0.029026,0.357878,0.0200416247823529,0.867131,0.325882352941176,2.96703,854.261,0,0,0,0,0,0,0,1,0,0.315089904504751,0.278529411764706,2.27175294117647
41.78125,-115.34375,2609.75,0.029026,0.357878,0.0200416247823529,0.867131,0.325882352941176,2.96703,739.639,0,0,0,0,0,0,0,1,0,0.342473217033174,0.278529411764706,2.27175294117647
41.78125,-115.28125,2578.06006,0.114487,0.438536,0.0200416247823529,0.792757,0.325882352941176,2.57569,739.639,0,0,0,0,0,0,0,1,0,0.35154991994522,0.278529411764706,2.27175294117647
41.78125,-115.21875,2455.62012,0.114487,0.438536,0.01456804934,0.792757,0.325882352941176,2.57569,438.051,1,0,0,0,0,0,0,0,0,0.335278083505932,0.278529411764706,2.27175294117647
41.84375,-116.09375,2026.68994,0.235058,0.052484,0.0235880227288235,0.673148,0.436552941176471,21.9579,642.021,1,0,0,0,0,0,0,0,0,0.313358411792985,0.401470588235294,8.74535882352941
41.84375,-116.03125,2094.87012,0.235058,0.052484,0.0235880227288235,0.673148,0.436552941176471,21.9579,642.021,1,0,0,0,0,0,0,0,0,0.319615449811295,0.401470588235294,8.74535882352941
41.84375,-115.84375,2110.12988,0.235058,0.052484,0.019665,0.673148,0.325882352941176,21.9579,477.18,0,0,0,1,0,0,0,0,0,0.330309103773473,0.278529411764706,2.27175294117647
41.84375,-115.78125,2039.75,0.201262,0.138289,0.019665,0.362349,0.325882352941176,10.087,477.18,1,0,0,0,0,0,0,0,0,0.305078783430386,0.278529411764706,2.27175294117647
41.84375,-115.53125,1968,0.201262,0.138289,0.00878135294117647,0.362349,0.236382352941176,10.087,572.059,0,0,0,0,0,0,1,0,0,0.304893671387382,0.13,6.7179
41.84375,-115.46875,2649.25,0.029026,0.357878,0.0200416247823529,0.867131,0.325882352941176,2.96703,854.261,0,0,0,1,0,0,0,0,0,0.320290272426257,0.278529411764706,2.27175294117647
41.84375,-115.40625,2595.63989,0.029026,0.357878,0.0200416247823529,0.867131,0.325882352941176,2.96703,854.261,0,0,0,0,0,0,1,0,0,0.321241740628657,0.278529411764706,2.27175294117647
41.84375,-115.34375,2346.30005,0.029026,0.357878,0.0200416247823529,0.867131,0.325882352941176,2.96703,739.639,0,0,0,0,0,0,1,0,0,0.31480696008774,0.278529411764706,2.27175294117647
41.84375,-115.28125,2245.68994,0.029026,0.357878,0.0150297539464706,0.867131,0.238694117647059,2.96703,739.639,0,0,0,0,0,0,1,0,0,0.299770590695615,0.135882352941176,3.59393529411765
41.84375,-115.21875,2583.37012,0.114487,0.438536,0.01456804934,0.792757,0.325882352941176,2.57569,438.051,0,0,0,1,0,0,0,0,0,0.299209355275892,0.278529411764706,2.27175294117647
41.84375,-115.15625,2119.37988,0.114487,0.438536,0.0145897682317647,0.792757,0.324147058823529,2.57569,438.051,1,0,0,0,0,0,0,0,0,0.312110276131639,0.272058823529412,1.53227647058824
41.84375,-115.09375,2117.62012,0.114487,0.438536,0.0145897682317647,0.792757,0.324147058823529,2.57569,319.972,1,0,0,0,0,0,0,0,0,0.296654628620793,0.272058823529412,1.53227647058824
41.84375,-114.46875,2185,0.114487,0.438536,0.00938761676411765,0.792757,0.316135294117647,2.57569,359.788,1,0,0,0,0,0,0,0,0,0.284191844273317,0.270588235294118,3.79359411764706
41.84375,-113.71875,1876.5,0.282672,0.454933,0.0361212352941176,0.299293,0.283094117647059,0.802936,431.967,1,0,0,0,0,0,0,0,0,0.283972158160238,0.190588235294118,17.7319411764706
41.90625,-116.03125,1886.62,0.235058,0.052484,0.0235880227288235,0.673148,0.436552941176471,21.9579,449.658,1,0,0,0,0,0,0,0,0,0.314009709056182,0.401470588235294,8.74535882352941
41.90625,-115.96875,2108.37012,0.235058,0.052484,0.0183364385529412,0.673148,0.364088235294118,21.9579,530.533,1,0,0,0,0,0,0,0,0,0.325727104526546,0.311764705882353,9.86254705882353
41.90625,-115.90625,2288.18994,0.029026,0.357878,0.0183364385529412,0.867131,0.364088235294118,2.96703,530.533,0,0,0,1,0,0,0,0,0,0.328229932542259,0.311764705882353,9.86254705882353
41.90625,-115.84375,2225.07007,0.029026,0.357878,0.0183364385529412,0.867131,0.364088235294118,2.96703,587.002,0,0,0,1,0,0,0,0,0,0.331133471447769,0.311764705882353,9.86254705882353
41.90625,-115.59375,1905.88,0.201262,0.138289,0.0128082364041176,0.362349,0.2697,10.087,597.861,1,0,0,0,0,0,0,0,0,0.283074046029907,0.225,4.12057647058824
41.90625,-115.53125,2343.75,0.029026,0.357878,0.0133012205911765,0.867131,0.258605882352941,2.96703,597.861,0,0,0,0,0,0,1,0,0,0.309998187450791,0.183823529411765,2.99157058823529
41.90625,-115.46875,2195.56006,0.029026,0.357878,0.0147804474794118,0.867131,0.326647058823529,2.96703,612.606,0,0,0,1,0,0,0,0,0,0.298777279237373,0.28,6.00492352941176
41.90625,-115.40625,2048.07007,0.029026,0.357878,0.0147804474794118,0.867131,0.326647058823529,2.96703,612.606,0,0,0,0,0,0,1,0,0,0.295785089199073,0.28,6.00492352941176
